iter	RMSE
0	2.43388405
1	2.405523044
2	2.378440342
3	2.361765346
4	2.34363737
5	2.329542316
6	2.320607469
7	2.304717888
8	2.277267804
9	2.265458443
10	2.244992619
11	2.220968135
12	2.204985137
13	2.190931345
14	2.177253062
15	2.154070673
16	2.13397424
17	2.113546455
18	2.106320091
19	2.092194641
20	2.077784356
21	2.06293572
22	2.049040061
23	2.035045894
24	2.025560705
25	2.008228997
26	1.995355182
27	1.989432205
28	1.982795922
29	1.970997823
30	1.961175236
31	1.949958574
32	1.939235288
33	1.931079036
34	1.920779353
35	1.910066951
36	1.900901471
37	1.894392026
38	1.880673471
39	1.870388412
40	1.865430058
41	1.856037431
42	1.844552103
43	1.84071809
44	1.832639343
45	1.822804256
46	1.81495845
47	1.805283355
48	1.796974432
49	1.792737267
50	1.782683806
51	1.774811316
52	1.768162474
53	1.759746048
54	1.752563746
55	1.743499637
56	1.735118906
57	1.72692424
58	1.720753667
59	1.712737615
60	1.706545782
61	1.698098413
62	1.692318972
63	1.685457238
64	1.677115258
65	1.670804559
66	1.665220637
67	1.659644867
68	1.65317772
69	1.647247003
70	1.64005486
71	1.636785586
72	1.630309963
73	1.622352009
74	1.617902877
75	1.610853735
76	1.601826236
77	1.593353357
78	1.587080728
79	1.581463396
80	1.575326311
81	1.569033829
82	1.562956773
83	1.558969399
84	1.551661215
85	1.544905203
86	1.541337758
87	1.533508756
88	1.528621993
89	1.524436884
90	1.519997472
91	1.513511868
92	1.509512463
93	1.50451901
94	1.498626212
95	1.493976116
96	1.487698533
97	1.482138445
98	1.476027894
99	1.471180122
100	1.4680751
101	1.463929148
102	1.458859126
103	1.454440593
104	1.450147781
105	1.444788808
106	1.439088881
107	1.433665995
108	1.429882821
109	1.425683141
110	1.421908515
111	1.417781772
112	1.413401635
113	1.408447023
114	1.404264586
115	1.399677186
116	1.395259384
117	1.390857042
118	1.386182072
119	1.38244816
120	1.377916983
121	1.373428883
122	1.369630859
123	1.366574647
124	1.362531416
125	1.358439364
126	1.355009455
127	1.351272698
128	1.34735434
129	1.344271598
130	1.340938435
131	1.337351897
132	1.334296596
133	1.330275111
134	1.327151856
135	1.324564935
136	1.321779769
137	1.319051255
138	1.31649406
139	1.31337803
140	1.310765367
141	1.307732718
142	1.305311123
143	1.301003249
144	1.297422046
145	1.292134507
146	1.288763082
147	1.285822372
148	1.283057205
149	1.280889263
150	1.278180278
151	1.273867264
152	1.270034821
153	1.267022113
154	1.2648947
155	1.262562332
156	1.260047959
157	1.257613679
158	1.254090307
159	1.252257301
160	1.249938199
161	1.248132305
162	1.245422922
163	1.242261299
164	1.239842265
165	1.23786958
166	1.235531107
167	1.232802136
168	1.229389141
169	1.227590914
170	1.225853245
171	1.223058249
172	1.220985868
173	1.218542448
174	1.21673422
175	1.213526884
176	1.210899993
177	1.208157151
178	1.205446465
179	1.202875579
180	1.200934262
181	1.198223783
182	1.196681145
183	1.193562426
184	1.192102181
185	1.189705547
186	1.188052516
187	1.185464517
188	1.183562372
189	1.181712832
190	1.180200157
191	1.177018414
192	1.175663337
193	1.174183436
194	1.171934044
195	1.170322246
196	1.168828033
197	1.167485172
198	1.166052318
199	1.164980306
200	1.162611415
201	1.161393651
202	1.159450443
203	1.158127186
204	1.155769069
205	1.154029779
206	1.152960094
207	1.151757079
208	1.150397172
209	1.149275755
210	1.14731966
211	1.146248991
212	1.145211294
213	1.143701712
214	1.142622243
215	1.141243856
216	1.139773946
217	1.137588447
218	1.136624102
219	1.135038955
220	1.133203624
221	1.132238047
222	1.130378926
223	1.129418549
224	1.127829814
225	1.125974552
226	1.124545136
227	1.123460834
228	1.122602723
229	1.121647377
230	1.120680323
231	1.119858259
232	1.118985443
233	1.118206974
234	1.117438793
235	1.116691573
236	1.115503602
237	1.113987891
238	1.1132155
239	1.111554269
240	1.11079976
241	1.109147214
242	1.10813347
243	1.10679664
244	1.105566746
245	1.104815656
246	1.103052556
247	1.101501645
248	1.10052921
249	1.099719529
250	1.098762725
251	1.097984601
252	1.096641541
253	1.095883043
254	1.095234543
255	1.094349863
256	1.093564246
257	1.092657545
258	1.091648495
259	1.091004014
260	1.09030765
261	1.08922433
262	1.087846441
263	1.086606653
264	1.085583443
265	1.084686443
266	1.084091636
267	1.083503434
268	1.082714522
269	1.082034606
270	1.081282654
271	1.080451981
272	1.079789261
273	1.079236383
274	1.078668094
275	1.077776854
276	1.07681534
277	1.07622348
278	1.075659677
279	1.074921224
280	1.074190098
281	1.073680425
282	1.07316553
283	1.072170309
284	1.071617592
285	1.070758627
286	1.069934679
287	1.068972387
288	1.068238371
289	1.067695862
290	1.066950042
291	1.066375051
292	1.065881918
293	1.065404271
294	1.064848085
295	1.064380747
296	1.063968498
297	1.063174136
298	1.062459018
299	1.061976357
