iter	Passed	Remaining
0	0	119
1	0	104
2	0	90
3	1	80
4	1	78
5	1	75
6	1	71
7	1	69
8	2	67
9	2	66
10	2	65
11	2	65
12	2	65
13	3	64
14	3	64
15	3	64
16	3	63
17	3	62
18	4	60
19	4	59
20	4	59
21	4	58
22	4	57
23	4	57
24	5	56
25	5	56
26	5	55
27	5	54
28	5	53
29	5	53
30	6	52
31	6	53
32	6	53
33	6	53
34	6	52
35	7	52
36	7	51
37	7	52
38	7	52
39	8	52
40	8	52
41	8	52
42	8	52
43	9	55
44	9	55
45	10	55
46	10	54
47	10	54
48	10	54
49	10	54
50	11	54
51	11	55
52	11	55
53	12	55
54	12	55
55	14	64
56	14	63
57	15	63
58	15	62
59	15	62
60	17	69
61	18	69
62	18	69
63	18	68
64	18	67
65	19	67
66	19	67
67	19	66
68	19	66
69	20	65
70	20	65
71	20	64
72	20	64
73	20	63
74	21	63
75	21	63
76	21	62
77	21	62
78	28	79
79	28	79
80	28	78
81	29	77
82	29	77
83	29	76
84	29	75
85	30	75
86	31	77
87	32	77
88	32	76
89	32	76
90	35	80
91	35	80
92	35	79
93	36	79
94	36	78
95	36	77
96	36	77
97	37	76
98	37	75
99	37	74
100	37	74
101	37	73
102	38	72
103	38	72
104	38	71
105	38	70
106	38	69
107	38	69
108	39	68
109	39	68
110	39	67
111	39	66
112	39	66
113	40	65
114	40	64
115	40	64
116	40	63
117	40	62
118	41	62
119	41	61
120	47	69
121	47	68
122	47	68
123	47	67
124	47	66
125	47	66
126	48	65
127	48	64
128	48	64
129	48	63
130	48	63
131	49	62
132	49	61
133	49	61
134	49	60
135	49	60
136	50	59
137	50	59
138	50	58
139	50	57
140	50	57
141	51	56
142	51	56
143	51	55
144	51	55
145	51	54
146	52	54
147	52	53
148	52	53
149	52	52
150	57	56
151	57	55
152	57	55
153	57	54
154	58	54
155	58	53
156	58	53
157	58	53
158	59	52
159	60	52
160	60	52
161	60	51
162	60	51
163	60	50
164	61	50
165	61	49
166	61	48
167	61	48
168	61	47
169	62	47
170	62	46
171	62	46
172	62	45
173	62	45
174	62	44
175	63	44
176	63	44
177	63	43
178	64	43
179	64	42
180	64	42
181	64	42
182	65	41
183	65	41
184	65	40
185	65	40
186	66	39
187	66	39
188	66	39
189	66	38
190	66	38
191	67	37
192	67	37
193	67	36
194	67	36
195	67	36
196	68	35
197	68	35
198	68	34
199	68	34
200	68	33
201	68	33
202	69	33
203	69	32
204	69	32
205	69	31
206	70	31
207	70	31
208	70	30
209	70	30
210	70	29
211	71	29
212	71	29
213	71	28
214	71	28
215	72	28
216	72	27
217	72	27
218	72	26
219	73	26
220	73	26
221	73	25
222	73	25
223	73	25
224	74	24
225	74	24
226	74	23
227	74	23
228	74	23
229	74	22
230	75	22
231	75	22
232	75	21
233	75	21
234	76	21
235	76	20
236	76	20
237	76	19
238	76	19
239	77	19
240	77	18
241	77	18
242	78	18
243	78	17
244	78	17
245	78	17
246	78	16
247	79	16
248	79	16
249	79	15
250	79	15
251	79	15
252	80	14
253	80	14
254	80	14
255	80	13
256	80	13
257	81	13
258	81	12
259	81	12
260	81	12
261	82	11
262	82	11
263	82	11
264	82	10
265	82	10
266	83	10
267	83	9
268	83	9
269	83	9
270	84	8
271	84	8
272	84	8
273	84	8
274	85	7
275	85	7
276	85	7
277	85	6
278	85	6
279	86	6
280	86	5
281	86	5
282	86	5
283	86	4
284	87	4
285	87	4
286	87	3
287	87	3
288	89	3
289	89	3
290	90	2
291	90	2
292	90	2
293	90	1
294	90	1
295	91	1
296	91	0
297	91	0
298	91	0
299	92	0
